timestamp,ticker,decision,confidence,news_score,technical_score,combined_score,article_count,news_direction,news_confidence,news_source,news_reasoning,technical_direction,technical_strength,technical_reasoning,final_reasoning
2025-06-04T07:44:27.688824,CXM,LONG,0.8219,0.9041,0.6300,0.8219,1,BUY,0.9041,finbert,"FinBERT scores - Positive: 0.904, Negative: 0.009, Neutral: 0.087",BUY,0.6300,MA trend: BUY; RSI: 51.6; MACD: bullish; BB position: 0.79,"News: BUY (0.90 confidence) | News reasoning: FinBERT scores - Positive: 0.904, Negative: 0.009, Neutral: 0.087 | Technical: BUY (0.63 strength) | Technical reasoning: MA trend: BUY; RSI: 51.6; MACD: bullish; BB position: 0.79 | Combined score: 0.82"
2025-06-04T07:44:27.688715,KOS,LONG,0.7919,0.9427,0.4400,0.7919,1,BUY,0.9427,finbert,"FinBERT scores - Positive: 0.943, Negative: 0.018, Neutral: 0.039",BUY,0.4400,MA trend: BUY; RSI: 36.3; MACD: bullish; BB position: 0.66,"News: BUY (0.94 confidence) | News reasoning: FinBERT scores - Positive: 0.943, Negative: 0.018, Neutral: 0.039 | Technical: BUY (0.44 strength) | Technical reasoning: MA trend: BUY; RSI: 36.3; MACD: bullish; BB position: 0.66 | Combined score: 0.79"
2025-06-04T07:44:27.688657,NVMI,LONG,0.7731,0.8944,0.4900,0.7731,1,BUY,0.8944,finbert,"FinBERT scores - Positive: 0.894, Negative: 0.010, Neutral: 0.095",BUY,0.4900,MA trend: BUY; RSI: 55.7; MACD: bullish; BB position: 0.81,"News: BUY (0.89 confidence) | News reasoning: FinBERT scores - Positive: 0.894, Negative: 0.010, Neutral: 0.095 | Technical: BUY (0.49 strength) | Technical reasoning: MA trend: BUY; RSI: 55.7; MACD: bullish; BB position: 0.81 | Combined score: 0.77"
2025-06-04T08:39:09.331568,FRGT,SHORT,0.7925,-0.9693,-0.3800,-0.7925,2,SELL,0.9693,finbert,"FinBERT scores - Positive: 0.016, Negative: 0.969, Neutral: 0.015",SELL,0.3800,MA trend: SELL; RSI: 18.6; MACD: bearish; BB position: 0.23,"News: SELL (0.97 confidence) | News reasoning: FinBERT scores - Positive: 0.016, Negative: 0.969, Neutral: 0.015 | Technical: SELL (0.38 strength) | Technical reasoning: MA trend: SELL; RSI: 18.6; MACD: bearish; BB position: 0.23 | Combined score: -0.79"
2025-06-04T08:39:09.331176,KEX,LONG,0.7808,0.9483,0.3900,0.7808,1,BUY,0.9483,finbert,"FinBERT scores - Positive: 0.948, Negative: 0.014, Neutral: 0.037",BUY,0.3900,MA trend: BUY; RSI: 68.2; MACD: bullish; BB position: 0.88,"News: BUY (0.95 confidence) | News reasoning: FinBERT scores - Positive: 0.948, Negative: 0.014, Neutral: 0.037 | Technical: BUY (0.39 strength) | Technical reasoning: MA trend: BUY; RSI: 68.2; MACD: bullish; BB position: 0.88 | Combined score: 0.78"
2025-06-04T08:39:09.331553,UAL,LONG,0.7591,0.9258,0.3700,0.7591,1,BUY,0.9258,finbert,"FinBERT scores - Positive: 0.926, Negative: 0.029, Neutral: 0.045",BUY,0.3700,MA trend: BUY; RSI: 47.0; MACD: bullish; BB position: 0.84,"News: BUY (0.93 confidence) | News reasoning: FinBERT scores - Positive: 0.926, Negative: 0.029, Neutral: 0.045 | Technical: BUY (0.37 strength) | Technical reasoning: MA trend: BUY; RSI: 47.0; MACD: bullish; BB position: 0.84 | Combined score: 0.76"
2025-06-04T08:50:47.545310,JOBY,LONG,0.8245,0.9465,0.5400,0.8245,1,BUY,0.9465,finbert,"FinBERT scores - Positive: 0.946, Negative: 0.022, Neutral: 0.031",BUY,0.5400,MA trend: BUY; RSI: 58.1; MACD: bullish; BB position: 0.81,"News: BUY (0.95 confidence) | News reasoning: FinBERT scores - Positive: 0.946, Negative: 0.022, Neutral: 0.031 | Technical: BUY (0.54 strength) | Technical reasoning: MA trend: BUY; RSI: 58.1; MACD: bullish; BB position: 0.81 | Combined score: 0.82"
2025-06-04T08:50:47.545249,CRWD,LONG,0.7665,0.9494,0.3400,0.7665,1,BUY,0.9494,finbert,"FinBERT scores - Positive: 0.949, Negative: 0.032, Neutral: 0.019",BUY,0.3400,MA trend: BUY; RSI: 71.8; MACD: bullish; BB position: 1.01,"News: BUY (0.95 confidence) | News reasoning: FinBERT scores - Positive: 0.949, Negative: 0.032, Neutral: 0.019 | Technical: BUY (0.34 strength) | Technical reasoning: MA trend: BUY; RSI: 71.8; MACD: bullish; BB position: 1.01 | Combined score: 0.77"
2025-06-04T08:50:47.545419,NVDA,LONG,0.7499,0.9041,0.3900,0.7499,1,BUY,0.9041,finbert,"FinBERT scores - Positive: 0.904, Negative: 0.067, Neutral: 0.028",BUY,0.3900,MA trend: BUY; RSI: 67.4; MACD: bullish; BB position: 0.82,"News: BUY (0.90 confidence) | News reasoning: FinBERT scores - Positive: 0.904, Negative: 0.067, Neutral: 0.028 | Technical: BUY (0.39 strength) | Technical reasoning: MA trend: BUY; RSI: 67.4; MACD: bullish; BB position: 0.82 | Combined score: 0.75"
2025-06-04T08:50:47.545400,TLS,LONG,0.7143,0.7718,0.5800,0.7143,2,BUY,0.7718,finbert,"FinBERT scores - Positive: 0.772, Negative: 0.020, Neutral: 0.208",BUY,0.5800,MA trend: BUY; RSI: 44.2; MACD: bullish; BB position: 0.69,"News: BUY (0.77 confidence) | News reasoning: FinBERT scores - Positive: 0.772, Negative: 0.020, Neutral: 0.208 | Technical: BUY (0.58 strength) | Technical reasoning: MA trend: BUY; RSI: 44.2; MACD: bullish; BB position: 0.69 | Combined score: 0.71"
